# List created using the lists from:
# http://www.ncbi.nlm.nih.gov/books/NBK3827/table/pubmedhelp.pubmedhelptable45/
Brevia	Brevia. (Rome).
Acta physiologica, pharmacologica et therapeutica latinoamericana : organo de la Asociacion Latinoamericana de Ciencias Fisiologicas y [de] la Asociacion Latinoamericana de Farmacologia	Acta Physiol. Pharmacol. Ther. Latinoam.
Acta physiotherapica et rheumatologica Belgica	Acta Physiother. Rheumatol. Belg.
Acta psiquiatrica y psicologica de America latina	Acta Psiquiatr. Psicol. Am. Lat.
Acta psychiatrica Belgica	Acta Psychiatr. Belg.
Acta psychologica	Acta Psychol. (Amst).
Acta radiologica	Acta radiol.
Acta radiologica (Stockholm, Sweden : 1987)	Acta Radiol.
Acta radiologica et cancerologica. Bohemoslovencia	Acta Radiol. Cancerol.
Acta radiologica. Supplement	Acta Radiol. Suppl. (Stockholm).
Acta radiologica: diagnosis	Acta Radiol. Diagn. (Stockh).
Acta radiologica: oncology, radiation, physics, biology	Acta Radiol. Oncol. Radiat. Phys. Biol.
Acta radiologica: therapy, physics, biology	Acta Radiol. Ther. Phys. Biol.
Acta rhumatologica Belgica	Acta Rhumatol. Belg.
Acta scientia Sinica = Chung-kuo k'o hsueh	Acta Sci. Sin.
Acta socio-medica Scandinavica	Acta Sociomed. Scand.
Acta socio-medica Scandinavica. Supplement	Acta Sociomed. Scand. Suppl.
Acta stomatologica Belgica	Acta Stomatol. Belg.
Acta stomatologica internationalia : revue scientifique et bulletin officiel de l'Association stomatologique internationale	Acta Stomatol. Int.
Acta theriologica	Acta Theriol. (Warsz).
Acta tuberculosea Belgica	Acta Tuberc. Belg.
Acta tuberculosea et pneumologica Belgica	Acta Tuberc. Pneumol. Belg.
Acta universitatis sapientiae. Mathematica	Acta Univ. Sapientiae. Matem.
Acta urologica Belgica	Acta Urol. Belg.
Acta veterinaria	Acta Vet. Brno.
Acta veterinaria Academiae Scientiarum Hungaricae	Acta Vet. Acad. Sci. Hung.
Acta veterinaria Hungarica	Acta Vet. Hung.
Acta zoologica (Stockholm, Sweden)	Acta Zool.
Acta. Toimituksia. ser. A. Suomalainen laakariseura Duodecim	Acta. Suom. Laak. Duodecim
Acta. Toimituksia. ser. B. Suomalainen laakariseura Duodecim	Acta. Suom. laak. Duodecim
Actas Ciba	Actas Ciba (Rio. J).
Actas de dermatologia & dermatopatologia	Actas Dermatol. Dermatopatol.
Actas de las reuniones cientificas del cuerpo facultativo del Instituto Policlinico	Actas Reun. Cient. Cuerfo. Fac. Inst. Policlin.
Actas dermo-sifiliograficas	Actas Dermosifiliogr.
Actas luso-espanolas de neurologia y psiquiatria	Actas Luso. Esp. Neurol. Psiquiatr.
Actas luso-espanolas de neurologia, psiquiatria y ciencias afines	Actas Luso. Esp. Neurol. Psiquiatr. Cienc. Afines
Actes de la recherche en sciences sociales	Actes Rech. Sci. Soc.
Action (National Fund for Research into Crippling Diseases)	Action Natl.
Action contre le SIDA	Action Contre SIDA
ActionAid disability news : the newsletter of Disability Division, ActionAid, India	Actionaid Disabil. News
Activitas nervosa superior	Act. Nerv. Super. (Praha).
Activities, adaptation & aging	Act. Adapt. Aging
Acts of the Legislature of the province of Manitoba : passed in the session held in the ... year of the reign of ... Manitoba	Acts Legis. Prov. Manit. Manit.
Actualidad juridica Aranzadi	Actual. Jurid. Aranzadi
Actualidad medica	Actual. Medica
Actualidad medica peruana	Actual. Med. Peru.
Actualidad pediatrica; revista de bibliografia internacional	Actual. Pediatr. (Granada).
Actualites anatomo-pathologiques	Actual. Anatpathol.
Actualites cardiologiques et angeiologiques internationales	Actual. Cardiol. Angeiol. Int. (Paris).
Actualites de physiologie pathologique	Actual. Physiol. Pathol. (Paris).
Actualites endocrinologiques	Actual. Endocrinol. (Paris).
Actualites hepato-gastro-enterologiques	Actual. Hepatogastroenterol. (Paris).
Actualites neurophysiologiques	Actual. Neurophysiol. (Paris).
Actualites odonto-stomatologiques	Actual. Odontostomatol. (Paris).
Actualites pharmacologiques	Actual. Pharmacol. (Paris).
Actualizaciones en osteologia	Actual. osteol.
Actuelle Urologie	Actuel. Urol.
Acupuncture & electro-therapeutics research	Acupunct. Electrother. Res.
Acupuncture in medicine : journal of the British Medical Acupuncture Society	Acupunct. Med.
Acute cardiac care	Acute Card. Care
Acute care	Acute Care
Ad astra (Washington, D.C.)	Ad Astra
Adansonia (Paris, France : 1997)	Adansonia
Adapted physical activity quarterly : APAQ	Adapt. Phys. Activ. Q.
Addiction (Abingdon, England)	Addiction
Addiction research & theory	Addict. Res. Theory
Addictive disorders & their treatment	Addict. Disord. Their Treat.
Adicciones	Adicciones
Adipocyte	Adipocyte
Adler	Adler
Adler Museum bulletin	Adler Mus. Bull.
Administration and policy in mental health	Adm. Policy Ment. Health
Administration in mental health	Adm. Ment. Health
Administrative change	Adm. Change
Administrative law journal	Adm. Law J.
Administrative law review	Adm. Law Rev.
Administrative management	Adm. Manage.
Administrative radiology : AR	Adm. Radiol.
Administrative radiology journal : AR	Adm. Radiol. J.
Adolescence	Adolescence
Adolescent & family health : A & FH	Adolesc. Fam. Health
Adolescent health, medicine and therapeutics	Adolesc. Health. Med. Ther.
Adolescent medicine (Philadelphia, Pa.)	Adolesc. Med.
Adolescent medicine: state of the art reviews	Adolesc. Med. State Art Rev.
Adolescent psychiatry	Adolesc. Psychiatry (Hilversum).
Adult basic education and literacy journal	Adult Basic Educ. Lit. J.
Advance data	Adv. Data
Advance for nurse practitioners	Adv. Nurse Pract.
Advance for physical therapy and rehab medicine	Adv. Phys. Ther. Rehab Med.
Advanced drug delivery reviews	Adv. Drug Deliv. Rev.
Advanced imaging (Woodbury, N.Y.)	Adv. Imaging
Advanced materials (Deerfield Beach, Fla.)	Adv. Mater.
Advanced powder technology : the international journal of the Society of Powder Technology, Japan	Adv. Powder Technol.
Advanced robotics : the international journal of the Robotics Society of Japan	Adv. Robot.
Advances and applications in bioinformatics and chemistry : AABC	Adv. Appl. Bioinform. Chem.
Advances in abortion care / IPAS	Adv. Abort. Care
Advances in adaptive data analysis	Adv. Adapt. Data Anal.
Advances in adolescent mental health	Adv. Adolesc. Mental Health
Advances in alcohol & substance abuse	Adv. Alcohol Subst. Abuse
Advances in anatomy, embryology, and cell biology	Adv. Anat. Embryol. Cell Biol.
Advances in biochemical engineering/biotechnology	Adv. Biochem. Eng. Biotechnol.
Advances in bioinformatics	Adv. Bioinformatics
Advances in biological research	Adv. Biol. Res. (Rennes).
Advances in biology of skin	Adv. Biol. Skin
Advances in bioresearch	Adv. Biores.
Advances in biotechnological processes	Adv. Biotechnol. Processes
Advances in cancer research	Adv. Cancer Res.
Advances in cell biology	Adv. Cell Biol.
Advances in child development and behavior	Adv. Child Dev. Behav.
Advances in chronic kidney disease	Adv. Chronic Kidney Dis.
Advances in clinical and experimental medicine : official organ Wroclaw Medical University	Adv. Clin. Exp. Med.
Advances in clinical neuroscience & rehabilitation : ACNR	Adv. Clin. Neurosci. Rehabil.
Advances in clinical pathology : the official journal of Adriatic Society of Pathology	Adv. Clin. Path.
Advances in cognitive psychology / University of Finance and Management in Warsaw	Adv. Cogn. Psychol.
Advances in colloid and interface science	Adv. Colloid Interface Sci.
Advances in consumer research. Association for Consumer Research (U.S.)	Adv. Consum. Res.
Advances in contraception : the official journal of the Society for the Advancement of Contraception	Adv. Contracept.
Advances in contraceptive delivery systems : CDS	Adv. Contracept. Deliv. Syst.
Advances in cyclic nucleotide and protein phosphorylation research	Adv. Cyclic Nucleotide Protein Phosphorylation Res.
Advances in cyclic nucleotide research	Adv. Cyclic Nucleotide Res.
Advances in data analysis and classification	Adv. Data Anal. Classif.
Advances in database technology : proceedings. International Conference on Extending Database Technology	Adv. Database Technol.
Advances in dermatology	Adv. Dermatol.
Advances in developmental biology (Amsterdam, Netherlands)	Adv. Dev. Biol.
Advances in drug research	Adv. Drug Res.
Advances in dual diagnosis	Adv. Dual Diagn.
Advances in engineering software (Barking, London, England : 1992)	Adv. Eng. Softw.
Advances in enzyme regulation	Adv. Enzyme Regul.
Advances in enzymology and related areas of molecular biology	Adv. Enzymol. Relat. Areas Mol. Biol.
Advances in fluorine research and dental caries prevention	Adv. Fluorine Res.
Advances in food and nutrition research	Adv. Food Nutr. Res.
Advances in food research	Adv. Food Res.
Advances in food research. Supplement	Adv. Food Res. Suppl.
Advances in genomics and genetics	Adv. Genomics Genet.
Advances in gerontology = Uspekhi gerontologii / Rossiiskaia akademiia nauk, Gerontologicheskoe obshchestvo	Adv. Gerontol.
Advances in health care management	Adv. Health Care Manag.
Advances in health economics and health services research	Adv. Health Econ. Health Serv. Res.
Advances in health economics and health services research. Supplement	Adv. Health Econ. Health Serv. Res. Suppl.
Advances in health sciences education : theory and practice	Adv. Health Sci. Educ. Theory Pract.
Advances in immunity and cancer therapy	Adv. Immun. Cancer Ther.
Advances in insect physiology	Adv. In Insect Phys.
Advances in life course research	Adv. Life Course Res.
Advances in lipid research	Adv. Lipid Res.
Advances in mass spectrometry	Adv. Mass Spectrom.
Advances in mathematics	Adv. Math. (N. Y).
Advances in mind-body medicine	Adv. Mind. Body. Med.
Advances in neonatal care : official journal of the National Association of Neonatal Nurses	Adv. Neonatal Care
Advances in nephrology from the Necker Hospital	Adv. Nephrol. Necker Hosp.
Advances in neural information processing systems	Adv. Neural Inf. Process. Syst.
Advances in nutrition (Bethesda, Md.)	Adv. Nutr.
Advances in ophthalmic plastic and reconstructive surgery	Adv. Ophthalmic Plast. Reconstr. Surg.
Advances in ophthalmology = Fortschritte der Augenheilkunde = Progres en ophtalmologie	Adv. Ophthalmol.
Advances in oral biology	Adv. Oral Biol.
Advances in organ biology	Adv. Organ Biol.
Advances in oto-rhino-laryngology	Adv. Otorhinolaryngol.
Advances in pain research and therapy	Adv. Pain Res. Ther.
Advances in peritoneal dialysis. Conference on Peritoneal Dialysis	Adv. Perit. Dial.
Advances in pest control research	Adv. Pest Control Res.
Advances in pharmacology (San Diego, Calif.)	Adv. Pharmacol.
Advances in population : psychosocial perspectives	Adv. Popul.
Advances in prostaglandin and thromboxane research	Adv. Prostaglandin Thromboxane Res.
Advances in prostaglandin, thromboxane, and leukotriene research	Adv. Prostaglandin. Thromboxane. Leukot. Res.
Advances in protein chemistry	Adv. Protein Chem.
Advances in protein chemistry and structural biology	Adv. Protein Chem. Struct. Biol.
Advances in school mental health promotion	Adv. Sch. Ment. Health Promot.
Advances in second messenger and phosphoprotein research	Adv. Second Messenger Phosphoprotein Res.
Advances in sex hormone research	Adv. Sex Horm. Res.
Advances in skin & wound care	Adv. Skin Wound Care
Advances in socio-dental research	Adv. Sociodent. Res.
Advances in space biology and medicine	Adv. Space Biol. Med.
Advances in space research : the official journal of the Committee on Space Research (COSPAR)	Adv. Space Res.
Advances in steroid biochemistry and pharmacology	Adv. Steroid Biochem. Pharmacol.
Advances in tracer methodology	Adv. Tracer Methodol.
Advances in tuberculosis research. Fortschritte der Tuberkuloseforschung. Progres de l'exploration de la tuberculose	Adv. Tuberc. Res.
Advances in virus research	Adv. Virus Res.
Advances in water resources	Adv. Water Resour.
Advances in wound care : the journal for prevention and healing	Adv. Wound Care
Advancing clinical care : official journal of NOAADN	Adv. Clin. Care
Adverse drug reaction bulletin	Adverse Drug React. Bull.
Adverse drug reactions and acute poisoning reviews	Adverse Drug React. Acute Poisoning Rev.
Adverse drug reactions and toxicological reviews	Adverse Drug React. Toxicol. Rev.
Advertising age	Advert. Age
Advocacy now	Advocacy Now
Advocate (Boston, Mass.)	Advocate
Aegyptus	Aegyptus
Aere perennius	Aere Perennius
Aerobiologia	Aerobiologia (Bologna).
Aeromedica acta	Aeromed. Acta
Aerosol science and technology : the journal of the American Association for Aerosol Research	Aerosol Sci. Technol.
Aerospace engineering (Society of Automotive Engineers)	Aerosp. Eng.
Aerzteblatt Rheinland-Pfalz	Arztebl. Rheinl. Pfalz.
Aerztliche Praxis	Arztl. Prax.
Aerztlicher Feldpostbrief	Aerztlicher Feldpostbrief
Aesculapian (Brooklyn, New York, N.Y.)	Aesculapian
Aesthetic surgery journal / the American Society for Aesthetic Plastic surgery	Aesthet. Surg. J.
Aevum	Aevum
Affari sociali internazionali	Aff. Soc. Int.
Affective computing and intelligent interaction : International Conference, ACII ... proceedings. ACII (Conference)	Affect. Comput. Intell. Interact.
Affilia	Affilia
Afghanistan	Afghanistan
AfricAsia (Paris, France : 1984)	Africasia
Africa	Africa (Lond).
Africa (Roma), Quaderni	Africa
Africa : journal of the International Institute of African Languages and Cultures	Africa
Africa : notiziario dell'Associazione fra le imprese italiane in Africa	Africa (Roma).
Africa South of the Sahara	Afr. South
Africa analysis	Afr. Anal.
Africa development. Afrique et developpement	Afr. Dev.
Africa health	Afr. Health
Africa insight	Afr. Insight
Africa journal of nursing and midwifery	Afr. J. Nurs. Midwifery
Africa link : a publication of the Africa Region	Afr. Link
Africa media review	Afr. Media Rev.
Africa quarterly	Afr. Q.
Africa recovery	Afr. Recovery
Africa report	Afr. Rep.
Africa today	Afr. Today
Africa woman	Afr. Woman
Africa women & health : a Safe Motherhood magazine	Afr. Women Health
Africa's population and development bulletin	Afr. Popul. Dev. Bull.
African affairs	Afr. Aff. (Lond).
African alternatives / Africa Operations Research and Technical Assistance Project	Afr. Alternat.
African concord	Afr. Concord
African demography	Afr. Demogr.
African dental journal : official publication of the Federation of African Dental Associations = Journal dentaire africain / FADA	Afr. Dent. J.
African development review = Revue africaine de developpement	Afr. Dev. Rev.
African economic history	Afr. Econ. Hist.
African environment	Afr. Environ.
African farmer : the key to Africa's future	Afr. Farmer
African health sciences	Afr. Health Sci.
African historical studies	Afr. Hist. Stud.
African journal for the psychological study of social issues : journal of the African Society for the Psychological Study of Social Issues	Afr. J. Psychol. Study Soc. Issues
African journal of AIDS research : AJAR	Afr. J. AIDS Res.
African journal of drug and alcohol studies	Afr. J. Drug Alcohol Stud.
African journal of ecology	Afr. J. Ecol.
African journal of fertility, sexuality, and reproductive health	Afr. J. Fertil. Sexual. Reprod. Heal.
African journal of health sciences	Afr. J. Health Sci.
African journal of herpetology : journal of the Herpetological Association of Africa	Afr. J. Herpetol.
African journal of laboratory medicine	Afr. J. Lab. Med.
African journal of medical practice / African Academy of Sciences	Afr. J. Med. Pract.
African journal of medicine and medical sciences	Afr. J. Med. Med. Sci.
African journal of midwifery and women's health	Afr. J. Midwifery Womens. Health
African journal of paediatric surgery : AJPS	Afr. J. Paediatr. Surg.
African journal of psychiatry	Afr. J. Psychiatry (Johannesbg).
African journal of reproductive health	Afr. J. Reprod. Health
African journal of sociology	Afr. J. Sociol.
African journal of traditional, complementary, and alternative medicines : AJTCAM / African Networks on Ethnomedicines	Afr. J. Tradit. Complement. Altern. Med.
African notes : bulletin of the Institute of African Studies, University of Ibadan	Afr. Notes
African population newsletter	Afr. Popul. Newsl.
African research & documentation	Afr. Res. Doc.
African review (Dar es Salaam, Tanzania)	Afr. Rev.
African social research	Afr. Soc. Res.
African studies	Afr. Stud.
African studies review	Afr. Stud. Rev.
African study monographs	Afr. Study Monogr.
African urban notes. Ser. B	Afr. Urban Notes. B
African urban quarterly	Afr. Urban Q.
African urban studies (Michigan State University. African Studies Center)	Afr. Urban Stud.
Africana Marburgensia	Afr. Marburgen.
Africana notes and news. Africana aantekeninge en nuus	Afr. Notes News.
Africana research bulletin	Afr. Res. Bull.
Africom / African Council on Communication Education	Africom
Afrika und Ubersee	Afr. Uebersee.
Afrique 2000 (Geneva, Switzerland)	Afrique 2000
Afrique contemporaine	Afr. Contemp.
Afrique documents	Afr. Doc.
Afrique francaise chirurgicale	Afr. Fr. Chir.
Afrique medicale	Afr. Med.
Afro-Americans in New York life and history	Afro. Am. N. Y. Life Hist.
Afya	Afya
Age	Age (Omaha).
Age (Dordrecht, Netherlands)	Age (Dordr).
Age (Melbourne, Vic.)	Age
Age and ageing	Age Ageing
Aged care & services review	Aged Care Serv. Rev.
Agenda (Durban, South Africa)	Agenda
Agenda salud	Agenda Salud
Agents and actions	Agents Actions
Agents and actions. Supplements	Agents Actions. Suppl.
Aggiornamenti clinicoterapeutici	Aggiorn. Clinico. Ter.
Aggiornamenti di fisiologia	Aggiorn. Fisiol.
Aggiornamenti di terapia oftalmologica	Aggiorn. Ter. Oftalmol.
Aggiornamenti in ostetricia e ginecologia	Aggiorn. Ostet. Ginecol.
Aggiornamenti sulle malattie da infezione	Aggiorn. Sulle Mal. Infez.
